diseased,ripe,size,filename
-1,0,1,./Size Fuzzy/Badami/Unripe/Medium/86.jpg
-1,0,1,./Size Fuzzy/Badami/Unripe/Medium/82.jpg
-1,0,1,./Size Fuzzy/Badami/Unripe/Medium/87.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/61.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/34.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/64.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/68.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/11.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/6.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/71.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/3.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/72.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/17.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/69.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/51.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/54.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/70.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/8.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/66.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/63.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/73.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/16.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/7.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/2.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/47.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/57.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/53.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/18.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/9.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/19.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/56.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/59.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/67.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/5.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/52.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/48.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/32.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/1.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/10.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/65.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/31.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/50.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/55.jpg
-1,0,3,./Size Fuzzy/Badami/Unripe/Very Big/4.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/41.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/75.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/21.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/58.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/39.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/15.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/27.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/33.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/30.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/49.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/23.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/14.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/74.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/83.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/85.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/24.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/78.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/40.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/36.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/80.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/44.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/76.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/84.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/26.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/13.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/60.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/46.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/37.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/38.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/79.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/29.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/43.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/77.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/25.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/35.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/62.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/22.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/20.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/89.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/28.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/12.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/42.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/45.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/81.jpg
-1,0,2,./Size Fuzzy/Badami/Unripe/Big/88.jpg
